,Year,Entity,Code,Oil Consumption - EJ,Gas Consumption - EJ,Coal Consumption - EJ,Solar Consumption - EJ,Hydro Consumption - EJ,Nuclear Consumption - EJ,Wind Consumption - EJ,Geo Biomass Other - EJ,Biofuels (TWh),Annual CO2 emissions per unit energy (kg per kilowatt-hour),Nuclear (% electricity)
0,1965,India,IND,146.9952501,2.372521898,413.4076819,0,53.24153648,0,0,0,0,0.2498,
1,1966,India,IND,164.149813,2.663272131,412.4156912,0,55.5985517,0,0,0,0,0.2513,
2,1967,India,IND,169.3603635,3.558782847,419.2855868,0,62.21538088,0,0,0,0,0.2441,
3,1968,India,IND,189.7710474,3.954203163,433.8250641,0,71.80303133,0,0,0,0,0.2492,
4,1969,India,IND,227.9290162,4.745043796,460.8415757,0,79.72112933,2.013283833,0,0,0,0.2291,
5,1970,India,IND,226.8916287,6.328471265,436.8092262,0,84.54564486,3.633731796,0,0,0,0.2399,
6,1971,India,IND,243.332658,6.706224115,442.8725561,0,92.73381752,2.700746605,0,0,0,0.2437,
7,1972,India,IND,262.3834671,7.355912135,467.683461,0,90.00851867,2.565709275,0,0,0,0.2449,
8,1973,India,IND,276.9592971,7.336662119,461.4497761,0,95.85195224,5.426045452,0,0,0,0.2471,
9,1974,India,IND,271.5431783,8.303975393,520.8565188,0,92.23049656,4.996381219,0,0,0,0.2406,
10,1975,India,IND,278.0930569,10.630821,559.9066502,0,110.1904615,5.953918652,0,0,0,0.243,
11,1976,India,IND,293.2589279,12.91435408,583.0352988,0,115.2727756,7.37794868,0,0,0,0.2421,
12,1977,India,IND,315.0442876,13.79263603,610.3466557,0,125.7688589,5.143694671,0,0,0,0.2422,
13,1978,India,IND,342.37479,15.40482482,590.6645849,0,156.0417732,6.285373917,0,0,0,0.2371,
14,1979,India,IND,369.4730514,19.15857783,627.4933845,0,150.4684143,6.518620215,0,0,0,0.2357,
15,1980,India,IND,376.8164781,11.33104031,659.5655103,0,154.0039371,6.800970996,0,0,0,0.2416,
16,1981,India,IND,405.6556087,19.78179708,742.143011,0,164.1194607,6.85007548,0,0,0,0.2355,
17,1982,India,IND,422.6566759,25.93458325,733.9046196,0,138.4991964,5.990747015,0,0,0,0.2454,
18,1983,India,IND,444.3533005,30.85777469,779.0486742,0,133.4537107,8.544180169,0,0,0,0.2525,
19,1984,India,IND,477.0674128,35.34062202,818.3114848,0,149.118041,11.22037453,0,0,0,0.2427,
20,1985,India,IND,517.6362094,43.22831583,857.3977652,0,143.9252418,12.52164335,0,0,0,0.2527,2.41852501
21,1986,India,IND,544.2598968,60.40029207,921.2407906,0,146.0244585,13.94567338,0,0,0,0.2531,2.477061241
22,1987,India,IND,561.7672289,69.57706316,1011.630644,0,136.0071438,14.7804496,0,0,0,0.2541,2.378937599
23,1988,India,IND,616.5012854,81.5049502,1085.558218,0,151.7083025,16.87966628,0,0,0,0.2521,2.518258869
24,1989,India,IND,667.7731795,96.90467377,1179.942074,0,176.027298,11.17127005,0,0,0,0.2538,1.476126515
25,1990,India,IND,693.5373273,115.9274427,1276.026165,0,184.4364409,17.76354699,0.084175152,0.104406573,0,0.2529,2.222271678
26,1991,India,IND,704.7980441,129.1081208,1357.878783,0,205.3303987,15.03824814,0.31363914,0.264087215,0,0.2553,1.689385579
27,1992,India,IND,741.8269393,144.3470105,1438.257713,0,194.6133451,17.78809923,0.245750197,0.331644409,0,0.2585,1.899346738
28,1993,India,IND,749.6282958,146.6709686,1489.626519,0,196.4793155,17.29705439,0.263250211,0.700138198,0,0.2607,1.719310579
29,1994,India,IND,805.0700782,158.5693069,1537.288311,0,222.8115949,13.73697932,0.531333758,1.05634886,0,0.2617,1.274672538
30,1995,India,IND,897.8395363,180.7784346,1631.614708,0.002805838,210.8914815,21.15175637,1.379084437,1.5660986,0,0.2588,1.782663715
31,1996,India,IND,969.2080759,197.3173741,1678.48387,0.01683503,191.8266657,23.33690589,2.439946396,2.100414593,0,0.2695,1.895572381
32,1997,India,IND,1036.261307,214.5265029,1755.924892,0.01683503,195.0307332,27.9772796,2.74444664,2.726854033,0,0.2657,2.146805166
33,1998,India,IND,1109.913155,235.4289396,1814.341748,0.01683503,232.3133125,31.58645916,2.99722462,3.590357811,0,0.2559,2.251356526
34,1999,India,IND,1211.432559,241.233878,1797.31633,0.01683503,228.4708867,35.35522828,4.01666988,4.683556049,0,0.2702,2.325309611
35,2000,India,IND,1273.522222,253.6271342,1911.792969,0.019640869,213.8623028,43.80119949,4.39444796,4.683556049,0.288,0.2641,2.892229359
36,2001,India,IND,1280.543483,254.2776884,1927.726778,0.030663805,198.7648263,52.12743865,5.754063045,5.71032092,0.333,0.2664,3.587436309
37,2002,India,IND,1364.884619,265.5443374,2013.457757,0.036005242,187.9458275,53.06349313,5.716940057,5.867474289,0.311,0.2625,3.4177585
38,2003,India,IND,1400.510234,284.2692124,2108.819539,0.044030079,188.7878536,49.42437111,7.095544138,7.389937418,0.335,0.2618,2.973537615
39,2004,India,IND,1437.841128,306.6916304,2243.530317,0.049218337,272.4225109,57.54017342,14.14528361,8.972009303,0.384,0.2592,2.563996491
40,2005,India,IND,1464.246185,343.2566496,2456.115316,0.048906829,262.047678,47.68342422,16.11504454,10.85401485,0.444,0.2578,2.884794145
41,2006,India,IND,1538.393113,358.772162,2550.428178,0.019245298,301.0214121,47.12895594,24.95821179,14.93381698,0.508,0.2605,2.699574823
42,2007,India,IND,1653.978932,388.1029187,2791.572755,0.156718875,325.6913008,47.36570352,31.03246233,19.66423448,0.525,0.2583,2.570419064
43,2008,India,IND,1734.109214,399.8769799,3015.320292,0.166304481,304.0178426,40.20537533,37.95490614,24.55498859,0.692,0.2632,2.099463166
44,2009,India,IND,1825.098716,491.0812407,3266.075293,0.196759417,278.9734435,44.1165569,42.68629958,30.54230838,0.219,0.2697,2.153629907
45,2010,India,IND,1866.313629,589.6166926,3377.14292,0.294632138,283.5354504,60.18346379,50.72991788,37.27226908,0.113,0.2678,2.801139168
46,2011,India,IND,1953.502909,602.8592531,3542.843795,2.143141958,341.307919,83.50647687,62.0715588,44.40994406,0.819,0.2684,3.565238871
47,2012,India,IND,2069.575945,556.9913639,3837.760634,5.406519477,298.2121136,85.35992738,70.6597838,51.35034411,0.637,0.2815,3.469333623
48,2013,India,IND,2083.45182,490.1934104,4102.856007,8.78931426,337.9086047,85.2771887,76.82623616,57.54914242,0.75,0.2812,3.330442893
49,2014,India,IND,2144.122795,485.0160556,4507.140525,12.49297407,353.7333627,88.27216343,85.13978368,62.79825383,0.644,0.2824,3.150174467
50,2015,India,IND,2316.802119,478.0687575,4597.026459,16.61139127,337.1733537,96.90898229,82.8279621,65.31344511,1.168,0.2839,3.348084024
51,2016,India,IND,2540.975266,507.9102249,4682.362883,29.0609197,322.8534293,95.30459104,109.2749558,62.40927736,1.919,0.2852,3.094763819
52,2017,India,IND,2635.233951,537.3558781,4849.172939,53.86149309,339.6252023,93.53619983,131.5624802,62.5202253,1.181,0.2796,2.989596122
53,2018,India,IND,2763.98435,580.914048,5154.910704,90.29718773,347.0392149,97.05591098,149.8962778,65.10549712,1.302,0.281,2.786892935
54,2019,India,IND,2843.93059,596.8089685,5172.222865,114.5689332,400.7697614,111.8331823,156.7798656,62.7742664,1.295,0.2776,3.277008481
